Player,Position,Projected Fantasy Points
Jalen Hurts,QB,355.578
Patrick Mahomes,QB,347.888
Josh Allen,QB,336.785
Lamar Jackson,QB,318.399
Joe Burrow,QB,316.34
Justin Fields,QB,315.711
Justin Herbert,QB,301.793
Trevor Lawrence,QB,300.378
Geno Smith,QB,290.24
Daniel Jones,QB,289.462
Kirk Cousins,QB,273.328
Anthony Richardson,QB,270.528
Austin Ekeler,RB,263.707
Christian McCaffrey,RB,257.886
Nick Chubb,RB,257.068
Bijan Robinson,RB,247.905
Derrick Henry,RB,244.511
Tony Pollard,RB,242.517
Saquon Barkley,RB,239.223
Jonathan Taylor,RB,226.36
Rhamondre Stevenson,RB,205.522
Jahmyr Gibbs,RB,203.101
Najee Harris,RB,199.884
Josh Jacobs,RB,199.461
Breece Hall,RB,198.809
Aaron Jones,RB,198.189
Alexander Mattison,RB,197.948
Miles Sanders,RB,197.862
Joe Mixon,RB,196.382
Kenneth Walker,RB,181.182
Cam Akers,RB,179.866
Travis Etienne,RB,179.427
David Montgomery,RB,175.921
J.K. Dobbins,RB,173.044
Dameon Pierce,RB,172.131
James Conner,RB,168.676
Rachaad White,RB,168.29
James Cook,RB,167.21
Javonte Williams,RB,166.316
Isiah Pacheco,RB,160.378
Alvin Kamara,RB,156.769
Rashaad Penny,RB,147.017
Khalil Herbert,RB,144.805
A.J. Dillon,RB,141.793
Jerick McKinnon,RB,137.912
D'Andre Swift,RB,137.802
Devon Achane,RB,135.736
Antonio Gibson,RB,132.505
Samaje Perine,RB,131.641
Justin Jefferson,WR,281.473
Cooper Kupp,WR,259.869
Ja'Marr Chase,WR,237.39
Tyreek Hill,WR,224.638
Stefon Diggs,WR,223.789
CeeDee Lamb,WR,222.58
A.J. Brown,WR,211.797
Jaylen Waddle,WR,210.3
Davante Adams,WR,209.436
Amon-Ra St. Brown,WR,192.697
Garrett Wilson,WR,183.909
Chris Olave,WR,175.928
DeVonta Smith,WR,169.114
Tee Higgins,WR,167.144
Calvin Ridley,WR,166.029
Terry McLaurin,WR,165.811
Amari Cooper,WR,163.283
Keenan Allen,WR,162.96
Deebo Samuel,WR,161.154
Christian Watson,WR,160.946
Tyler Lockett,WR,160.871
DK Metcalf,WR,160.349
Jerry Jeudy,WR,160.232
Mike Williams,WR,159.965
Christian Kirk,WR,159.007
Brandon Aiyuk,WR,158.527
DeAndre Hopkins,WR,156.655
Marquise Brown,WR,154.804
Diontae Johnson,WR,153.787
Drake London,WR,148.936
D.J. Moore,WR,147.896
Chris Godwin,WR,143.97
Mike Evans,WR,142.058
Michael Pittman Jr.,WR,141.237
Jahan Dotson,WR,139.967
Gabe Davis,WR,139.741
George Pickens,WR,137.618
Jaxon Smith-Njigba,WR,136.412
Jordan Addison,WR,132.998
Treylon Burks,WR,132.854
JuJu Smith-Schuster,WR,132.557
Michael Thomas,WR,131.635
Zay Flowers,WR,130.815
Elijah Moore,WR,130.396
Odell Beckham,WR,130.313
Brandin Cooks,WR,130.088
Romeo Doubs,WR,130.075
Jakobi Meyers,WR,129.959
Allen Lazard,WR,129.055
Travis Kelce,TE,206.93
Mark Andrews,TE,179.592
T.J. Hockenson,TE,148.68
George Kittle,TE,145.252
Darren Waller,TE,130.154
Dallas Goedert,TE,125.898
Kyle Pitts,TE,122.099
Evan Engram,TE,121.061
David Njoku,TE,109.994
Tyler Higbee,TE,107.407
Pat Freiermuth,TE,103.124
Dalton Schultz,TE,102.262
Greg Dulcich,TE,100.664
Chigoziem Okonkwo,TE,98.337
Gerald Everett,TE,95.698
Dawson Knox,TE,94.618
Cole Kmet,TE,93.05
Dalton Kincaid,TE,90.722
Taysom Hill,TE,90.285
Hunter Henry,TE,90.135
Sam LaPorta,TE,88.637
Jake Ferguson,TE,87.348
Irv Smith Jr.,TE,87.069
Luke Musgrave,TE,85.549
